track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,market,data_fetched_at,danceability,energy,valence,tempo,speechiness,acousticness,instrumentalness,liveness,days_since_release,popularity_bucket,vibe_score
2tudvzsrR56uom6smgOcSf,Like That,Future,WE DON'T TRUST YOU,2024-03-22,84,267706,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,658,High,
6pheMGrfMwwnypqafU7d4k,Run Rudolph Run - Spotify Singles Holiday,Mark Ambor,Run Rudolph Run - Spotify Singles Holiday,2024-10-15,85,155846,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,451,High,
1KZG1H1OCugGqIRmk1wF9m,Indigo (feat. Avery Anna),Sam Barber,Restless Mind,2024-11-01,83,286634,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,434,High,
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,95,210373,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,602,High,
0InIeZW4P6VO7dUGRM4AKH,Sienna,The Marías,Submarine,2024-05-31,89,224840,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,588,High,
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,back to friends,2024-12-27,92,199032,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,378,High,
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,93,261466,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,602,High,
59c2xv2kMzYM6HR9oY6BIa,Sweet Boy,Malcolm Todd,Sweet Boy,2024-04-05,84,180000,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,644,High,
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,92,251667,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,511,High,
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,87,157279,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,504,High,
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,90,218423,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,644,High,
0hta2Lb2zKJ7kEnAEZEE3G,Nope your too late i already died,wifiskeleton,suburban daredevil,2024-10-22,88,90067,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,444,High,
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,2024-05-04,88,274192,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,615,High,
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,Submarine,2024-05-31,90,236906,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,588,High,
3EO58D1YpHnTvBy68gK8HE,Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,2024-10-04,81,166666,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,462,High,
4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae,Bird's Eye,2024-08-09,89,213466,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,518,High,
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),Kendrick Lamar,GNX,2024-11-22,86,220690,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,413,High,
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,91,166300,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,448,High,
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,Pink Skies,2024-05-24,85,194920,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,595,High,
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),Kendrick Lamar,GNX,2024-11-21,86,177598,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,414,High,
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),Post Malone,F-1 Trillion,2024-08-15,83,178205,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,512,High,
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,2024-04-05,89,180304,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,644,High,
1osfLqL6L2iQsirRf83ded,Worst Way,Riley Green,Way Out Here,2024-04-12,83,220558,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,637,High,
2A22iI0x4EYAVXNpKPhNEM,weren't for the wind,Ella Langley,still hungover,2024-11-01,85,193666,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,434,High,
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",2024-09-26,92,186964,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,470,High,
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,Sailor Song,2024-07-26,88,211978,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,532,High,
0UOG0zUn7t8m8QcxfzR7AH,"Merry Christmas, Please Don't Call",Bleachers,"Merry Christmas, Please Don't Call",2024-11-13,83,202132,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,422,High,
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,87,303440,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,602,High,
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,Stargazing,2024-05-10,86,172533,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,609,High,
4jHl6jgzZOnS4nGamPZ1Uk,Santa Baby,Laufey,A Very Laufey Holiday,2024-11-01,83,182040,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,434,High,
0eAuGrXyGFYwur9ARUe7LJ,Earrings,Malcolm Todd,Sweet Boy,2024-04-05,81,151500,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,644,High,
2FAZskT9yRjp2Oow9szJD8,The Days - NOTION Remix,Chrystal,The Days (NOTION Remix),2024-11-08,87,233229,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,427,High,
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,83,171291,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,637,High,
5vPUv0xziXbV4lnWeVNXNq,Roommates,Malcolm Todd,Sweet Boy,2024-04-05,81,214504,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,644,High,
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,GNX,2024-11-22,81,157992,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,413,High,
6aJn7Cst74cj4lNIiPRgav,Touch,KATSEYE,Touch,2024-07-26,87,129882,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,532,High,
3neOwym9kfYsM1QWaR77C1,The Largest,BigXthaPlug,TAKE CARE,2024-10-11,80,132160,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,455,High,
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,Rauw Alejandro,Cosa Nuestra,2024-11-15,89,191018,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,420,High,
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",CHROMAKOPIA,2024-10-28,81,255915,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,438,High,
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,2024-06-21,88,157146,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,567,High,
4QpuZ1Qbcd11aOtY1kGMRg,The Fall,Cody Johnson,Leather Deluxe Edition,2024-11-01,79,197626,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,434,High,
2uvE4L5ZsYKpv8hbK4TIOt,MUTT,Leon Thomas,MUTT,2024-09-27,82,192933,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,469,High,
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,83,155151,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,623,High,
3t6gUcGYLrUuqwpXjOFWQc,I Never Lie,Zach Top,Cold Beer & Country Music,2024-04-05,80,224906,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,644,High,
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23,88,175459,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,504,High,
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,Unreal Unearth: Unaired,2024-08-19,79,251424,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,508,High,
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator",CHROMAKOPIA,2024-10-28,86,278014,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,438,High,
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,82,210950,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,603,High,
1FHIZknONrV2c20w0x5AVG,Don't Mind If I Do,Riley Green,Don't Mind If I Do,2024-10-18,80,218946,US,2026-01-09 10:02:47.120908+00:00,,,,,,,,,448,High,
